id;name;description;category;price;link
1;Лонгслив-футболка длинный рукав;Длинный рукав и свободный крой делают его идеальным выбором для дома, пляжа или прогулок прохладными вечерами. Эта базовая модель универсальна и подойдет как мужчинам, так и женщинам, благодаря своему стильному и лаконичному дизайну. Также подойдет как для высоких, так и для невысоких.;Мужская кофта красная;584;https://www.wildberries.ru/catalog/11539766/detail.aspx
2;Тонкий джемпер;Выполненный из мягкого материала, он дарит приятные тактильные ощущения и позволяет телу дышать. Базовая модель имеет лаконичный дизайн, состоящий из двух цветов, за счет чего создается эффект полоски. Модный джемпер привлекает своей универсальностью - подходит под любой кэжуал образ.;Мужская кофта красная;2 541;https://www.wildberries.ru/catalog/240796598/detail.aspx
3;Худи с начесом теплое;Выполненное из утепленного трикотажного футера с мягким начесом, оно гарантирует уют и тепло, которые останутся с вами даже в самые морозные будни. Классический, оверсайз крой подчеркивает стиль и удобство, данная унисекс модель отлично подойдет в качестве новогоднего подарка.;Мужская кофта красная;1 325;https://www.wildberries.ru/catalog/260105652/detail.aspx
4;Лонгслив-футболка больших размеров длинный рукав 58 - 66;Модная молодежная кофта выполнена из высококачественного мягкого 100% хлопка и имеет округлый вырез горловины, эластичный и без пуговиц , невероятно приятен к телу и дарит ощущение абсолютного комфорта. Длинный рукав и свободный крой делают его идеальным выбором для дома, пляжа или прогулок прохладными вечерами. Эта модель универсальна и подойдет мужчинам разной комплектации, благодаря своему стильному и лаконичному дизайну. ;Мужская кофта синяя;646;https://www.wildberries.ru/catalog/191133987/detail.aspx
5;Джемпер на молнии классический однотонный свитер;Пуловер выполнен из приятного на ощупь мягкого, шерстяного трикотажного полотна, что придает ощущение нежности при носке. Кроме того, он обладает антипиллинговым эффектом, который предотвращает образование катышков на поверхности, и не теряет свой первоначальный вид даже после многократных стирок при температуре 30°C.;Мужская кофта синяя;2 130;https://www.wildberries.ru/catalog/279919110/detail.aspx
6;Кофта с воротником на молнии;Эта кофта имеет классический фасон с длинными рукавами для делового офиса и для повседневного образа. Универсальный стиль дополнен элементами ретро подчеркивая модные винтажные тренды последнего времени. Обладает приятной текстурой материала. Свитер невероятно мягкий как кашемировый.;Мужская кофта синяя;2 317;https://www.wildberries.ru/catalog/291852747/detail.aspx
7;Лонгслив-футболка больших размеров длинный рукав 58 - 66;Модная молодежная кофта выполнена из высококачественного мягкого 100% хлопка и имеет округлый вырез горловины, эластичный и без пуговиц , невероятно приятен к телу и дарит ощущение абсолютного комфорта. Длинный рукав и свободный крой делают его идеальным выбором для дома, пляжа или прогулок прохладными вечерами.;Мужская кофта черная;646;https://www.wildberries.ru/catalog/192581598/detail.aspx
8;Водолазка с горлом теплая трикотажная с начесом;Водолазка черная мужская утепленная с горлом. Наша обтягивающая базовая водолазка с начесом выполнена из легкого дышащего материала, а именно - натурального качественного хлопка, который обеспечивает терморегуляцию. Стильный гольф с длинным рукавом сохраняет тепло, не сковывает движения.;Мужская кофта черная;577;https://www.wildberries.ru/catalog/185796129/detail.aspx
9;Свитер тонкий оверсайз вязаный без воротника;Тонкий свитер изготовлен из высококачественной пряжи, состоящей из 70% шерсти и 30% акрила. Вязаный свитер обеспечивает отличное сочетание тепла и легкости. Оверсайз модель позволяет чувствовать себя свободно и непринужденно.;Мужская кофта черная;1 321;https://www.wildberries.ru/catalog/238477685/detail.aspx
10;Футбольный мини-мяч игровой;Наш мини мячик имеет яркий дизайн и выполнен из прочного материала, зернистого полиуретана, что позволяет играть им на любой поверхности: на искусственном покрытии или в зале. Швы у мяча очень прочные и износостойкие.;Мяч футбольный детский;336;https://www.wildberries.ru/catalog/155418873/detail.aspx?size=259466670
